episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,num_policies,target_x,target_y,success,steps,task_cost,false_finds,collisions,cumulative_inference_ms,final_x,final_y,final_target_distance
map1560023974-target1892783321-obs1098067557-g20-T2,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,20,2,25,18,8,True,26,31.0,1,0,9817.672399999998,15,13,5.830951894845301
map1560023974-target1892783321-obs1098067557-g20-T3,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,20,3,125,18,8,True,26,31.0,1,0,15136.4911,15,13,5.830951894845301
map1440510675-target48647418-obs1735039633-g2-T1,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,2,1,5,10,12,False,50,150.0,0,0,320.7433,12,4,8.246211251235321
map1440510675-target48647418-obs1735039633-g2-T2,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,2,2,25,10,12,False,50,150.0,0,0,616.023,12,4,8.246211251235321
map1440510675-target48647418-obs1735039633-g2-T3,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,2,3,125,10,12,False,50,150.0,0,0,5137.608,12,4,8.246211251235321
map1440510675-target48647418-obs1735039633-g5-T1,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,5,1,5,10,12,False,50,150.0,0,0,769.1826000000001,6,16,5.656854249492381
map1440510675-target48647418-obs1735039633-g5-T2,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,5,2,25,10,12,True,23,23.0,0,0,482.1227999999999,9,9,3.1622776601683795
map1440510675-target48647418-obs1735039633-g5-T3,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,5,3,125,10,12,True,25,25.0,0,0,16974.0353,10,8,4.0
map1440510675-target48647418-obs1735039633-g10-T1,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,10,1,5,10,12,True,15,15.0,0,0,846.8796000000001,9,7,5.0990195135927845
map1440510675-target48647418-obs1735039633-g10-T2,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,10,2,25,10,12,True,13,13.0,0,0,863.3862,10,6,6.0
map1440510675-target48647418-obs1735039633-g10-T3,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,10,3,125,10,12,True,20,20.0,0,0,17952.1841,9,16,4.123105625617661
map1440510675-target48647418-obs1735039633-g20-T1,5,1440510675,48647418,1735039633,1728730614,2,10,6.0,20,1,5,10,12,True,15,15.0,0,0,4056.4519,9,7,5.0990195135927845
