episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,decision,x,y,target_x,target_y,observation,next_observation,next_x,next_y,selected_action,state_ms,policy_ms,action_ms,total_ms,cumulative_inference_ms,state_vfe,target_belief_entropy,selected_policy,selected_policy_posterior,selected_policy_efe,false_find,collision,success
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,7,4,10,16,1,"[4, 10, 0, 0, 0]","[4, 11, 0, 0, 0]",4,11,UP,1.6731,4.1815,0.0432,5.897799999999999,48.1616,0.46755523828417384,1.0886377603538762,12,0.08420763797533995,-30.79219289174937,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,8,4,11,16,1,"[4, 11, 0, 0, 0]","[4, 12, 0, 0, 0]",4,12,UP,1.6529,4.2177,0.0425,5.9131,54.0747,0.3968112989173175,0.9270672490642926,12,0.06997966089135711,-31.036149537307537,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,9,4,12,16,1,"[4, 12, 0, 0, 0]","[4, 13, 0, 0, 0]",4,13,UP,1.665,4.1873,0.0423,5.8946,59.9693,0.16458571268478617,0.7722841686954033,12,0.06318978402931469,-31.303836462107128,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,10,4,13,16,1,"[4, 13, 0, 0, 0]","[4, 12, 0, 0, 0]",4,12,DOWN,1.6579,4.1953,0.0416,5.894799999999999,65.8641,0.07427461127165821,0.7286313216623875,6,0.06254680859651711,-31.363207754483344,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,11,4,12,16,1,"[4, 12, 0, 0, 0]","[4, 11, 0, 0, 0]",4,11,DOWN,1.6238,4.1148,0.0424,5.781,71.6451,0.06280901858922779,0.7219860119585653,6,0.06283660487184661,-31.362145915149853,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,12,4,11,16,1,"[4, 11, 0, 0, 0]","[4, 10, 0, 0, 0]",4,10,DOWN,1.6898,4.1785,0.0434,5.9117,77.5568,0.06347069129793176,0.7167309157210152,6,0.06307504472552873,-31.35642470084399,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,13,4,10,16,1,"[4, 10, 0, 0, 0]","[4, 9, 0, 0, 0]",4,9,DOWN,1.6142,4.1122,0.042,5.7684,83.3252,0.06504308340463401,0.707547211832072,6,0.06289574179649902,-31.35805571595503,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,14,4,9,16,1,"[4, 9, 0, 0, 0]","[4, 8, 0, 0, 0]",4,8,DOWN,1.6124,4.1426,0.0418,5.7968,89.122,0.06379601865713071,0.6981765457789908,6,0.06259031452518435,-31.365435555410876,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,15,4,8,16,1,"[4, 8, 0, 0, 0]","[4, 7, 0, 0, 0]",4,7,DOWN,1.6389,4.1459,0.0424,5.8272,94.9492,0.06151616552752441,0.6941004699925577,6,0.06250656465835044,-31.36888261785933,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,16,4,7,16,1,"[4, 7, 0, 0, 0]","[4, 6, 0, 0, 0]",4,6,DOWN,1.589,4.3396,0.0435,5.972099999999999,100.9213,0.06072536475775798,0.6933333935350106,6,0.06250000568734985,-31.369433448970597,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,17,4,6,16,1,"[4, 6, 0, 0, 0]","[4, 7, 0, 0, 0]",4,7,UP,1.6282,4.1591,0.0419,5.8292,106.7505,0.06061721030338434,0.693253686678506,12,0.06249984417248854,-31.369478954655396,False,False,False
